TxHash,BlockNumber,UnixTimestamp,FromAddress,ToAddress,ContractAddress,Type,Value,Fee,Status,ErrCode,CurrentPrice,TxDateOpeningPrice,TxDateClosingPrice
0x0b1db9cf8528dc587d628eaa70892a34abbef924ab75ff000e1509960bc721e2,20054466,2024-04-07 06:38:25.000000Z,0x3f23E69200b4Cf395779c0D3d9C651B1DF89E7A6,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,17794495476000000000,ok,,,,
0x7362ad103bb48579b9bfcb0c764cc11f51bd193e551a0d9ac2c4194600c1d2ea,20054462,2024-04-07 06:37:45.000000Z,0xa150b3049C6594D4b9713F2242583062Ad8755bF,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,15207179955724413453,ok,,,,
0x5192aa4eadc1b455f3c3e539b912babac18512861bb6941d9362cbc108ad9859,20054405,2024-04-07 06:28:15.000000Z,0x27F45c422716eeF3F46A0c361Af7C7cb193f65A5,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,18192299869925078616,ok,,,,
0x827fead35be62238e3c7a43c5f8b79a0c09f134757d00cd544eefa9268947201,20054352,2024-04-07 06:19:25.000000Z,0x27F45c422716eeF3F46A0c361Af7C7cb193f65A5,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,17839791357014345499,ok,,,,
0xe7610f2c0ee52944d8ff4fa31db790b9c86f437727328a84c49290f6f934110f,20054294,2024-04-07 06:09:15.000000Z,0x6454b54CD2c83a14DF9cB27B5bcd73493FD80Da2,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,486071760013013366010,ok,,,,
0x02764c0bd54914ce30ff7294426496e70689cb233b5e0465ca699c507df4f009,20054221,2024-04-07 05:56:55.000000Z,0x3d07b7163b04782098D2407bF58777de7d1Cea76,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,18808482343395666285,ok,,,,
0x5281a96164a2f6791af55ae73680477a5731c83e58313ec9508d8950491fde5b,20054203,2024-04-07 05:53:45.000000Z,0x85b1Bcd80C942b27b4D30a3f74551bc84518F2A9,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,21427205211000000000,ok,,,,
0x13138086a72bd45908b47f4ceb988e4a12c01e47be1a3dff29369f36cea5366a,20054157,2024-04-07 05:46:05.000000Z,0xF7a80005254966d50a8Db09D46A979186B29BE15,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,356129898810000000000,ok,,,,
0x9b80ec9b36f9ee4c99fbdc2a4525bc12832ab3ff3685b2c0946c70f264ebc469,20054155,2024-04-07 05:45:45.000000Z,0xB10E8451Ab27b0eC58307FB4671e9a4f5b156FE0,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,24639401367000000000,ok,,,,
0xeb9d40340b6dd318eb69d347de93fffc6598486ead1bb6cd5c17561bfea350ee,20054071,2024-04-07 05:31:15.000000Z,0xd2A672bCE1455906C47daBdf30a9078FFAcD806a,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,16053511974996566880,ok,,,,
0x79f61e04cc4ad90308e702e874a67ff52b89172b72e1f7e7fbfd20172ce47b55,20054071,2024-04-07 05:31:15.000000Z,0x80966bAc6aCb6EeF97dB9DA4a73E36B587Fc31d1,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,44338761329718458517,ok,,,,
0xa2ddb92066c20ebc0e7bcd9d9c47910cc26a3610b0510e175e8b55fdaa0d4d9c,20053981,2024-04-07 05:15:45.000000Z,0x8969c18fd98017A5097F7999F17AA4a8844f41ce,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,11173562222206158540,ok,,,,
0x58fef5fce3a3a741746138768036aaa0f719883ee103a9f5f2d9ed94fb51bbae,20053966,2024-04-07 05:13:15.000000Z,0xE574419157E25D690bC3C174584A83a3990dc1ed,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,19192943970926698248,ok,,,,
0x1dbae1c394d90536e868f1ba377374a1271617b3d82f48e4d2db2d7106a7ffa8,20053932,2024-04-07 05:07:25.000000Z,0x80966bAc6aCb6EeF97dB9DA4a73E36B587Fc31d1,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,44338761329718458517,ok,,,,
0x2273e6b4d537cf74dd0adbbf3b6a03c97fd7a66a10c8c0997609f01b3197c3e7,20053923,2024-04-07 05:05:45.000000Z,0x80966bAc6aCb6EeF97dB9DA4a73E36B587Fc31d1,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,44338761329718458517,ok,,,,
0x27dd5d073e3fa9636a18d287671ec363cb461295cb5f13d0e376e4f35353436e,20053918,2024-04-07 05:04:55.000000Z,0x9B83703fdCaddC572ADC87cb9CCd3e75E136c4a1,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,58851489265475231142,ok,,,,
0x01ec464e303096e336a120dc6e759dfcd34919380bee1af9be308f41cbb1ec2c,20053915,2024-04-07 05:04:25.000000Z,0xd2A672bCE1455906C47daBdf30a9078FFAcD806a,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,11786671382547830685,ok,,,,
0x7e004344eb983be0b9a465afd1f9f21e5588e87da2d2a4f911b7e6fa4b112f8a,20053908,2024-04-07 05:03:15.000000Z,0x9B83703fdCaddC572ADC87cb9CCd3e75E136c4a1,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,59224688178225530205,ok,,,,
0xae37ad78ee05242715c56f1bcb1f8229b89614361e9ad4d565c437edd33d3791,20053904,2024-04-07 05:02:35.000000Z,0xB10E8451Ab27b0eC58307FB4671e9a4f5b156FE0,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,21772575630000000000,ok,,,,
0x1cf2a68b38940b21031792c14919902d896e75558425b1b1c493e90ece226c33,20053904,2024-04-07 05:02:35.000000Z,0x80966bAc6aCb6EeF97dB9DA4a73E36B587Fc31d1,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,44338761329718458517,ok,,,,
0x9e711ad5bfac9961c3a555c70720f7045debec41468de52c31ac97dcd94a0dc7,20053815,2024-04-07 04:47:05.000000Z,0x2BFF34FD29Aefa58deD31634e194F43C73c81c53,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,18228734721000000000,ok,,,,
0x123c0a15775abdd20eb9354ac95c218873bddc4c060425dd83a4dd6946f8f31b,20053810,2024-04-07 04:46:15.000000Z,0x3Db9a60cbd652600657343Fcb61785b0a5211C56,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,10505935751171903574,ok,,,,
0xfd55f918132f983ab970997df0214fb25b2f0762ca5e000856a8667aab062602,20053775,2024-04-07 04:40:25.000000Z,0x9F83A430081fBC7D03b36C1115213De1D8217D83,0xB6Bad00525221EB28Eb911a0B1162a0709b4CE57,,IN,0,15592088208284338689,ok,,,,
